Ref,Val,Package,PosX,PosY,Rot,Side
"L2","Core_64c_Logo_7mm_tall","Core64c_Logo_7mm",16.400000,-16.600000,180.000000,bottom
"C1","470uF","CP_Elec_6.3x7.7",-30.150000,-20.600000,90.000000,top
"C2","0.1uF","C_0805_2012Metric",-4.035000,-21.350000,270.000000,top
"C3","10uF","C_0805_2012Metric",-0.535000,-21.350000,270.000000,top
"C4","0.1uF","C_0805_2012Metric",10.900000,-22.900000,180.000000,top
"C5","0.1uF","C_0805_2012Metric",-31.267400,25.044400,0.000000,top
"C6","0.1uF","C_0805_2012Metric",-21.450000,-34.900000,180.000000,top
"C8","1uF","C_0805_2012Metric",-15.700000,36.499800,270.000000,top
"C9","470uF","CP_Elec_6.3x7.7",-30.124400,-9.753600,270.000000,top
"C10","1uF","C_0805_2012Metric",-27.254200,36.601400,90.000000,top
"C11","1uF","C_0805_2012Metric",-18.950000,-21.100000,90.000000,top
"C12","0.01uF","C_0805_2012Metric",-22.148800,-17.754600,0.000000,top
"C13","1uF","C_0805_2012Metric",-25.550000,-21.100000,90.000000,top
"C14","0.1uF","C_0805_2012Metric",-17.780000,19.786600,180.000000,top
"C15","0.1uF","C_0805_2012Metric",17.800000,28.825000,180.000000,top
"C16","0.1uF","C_0805_2012Metric",25.150000,28.650000,180.000000,top
"D1","BAT54AW","SOT-323_SC-70",25.550000,-0.015000,180.000000,top
"D2","BAT54CW","SOT-323_SC-70",25.550000,-2.765000,180.000000,top
"D3","BAT54AW","SOT-323_SC-70",25.550000,-5.515000,180.000000,top
"D4","BAT54CW","SOT-323_SC-70",25.550000,-8.265000,180.000000,top
"D5","BAT54AW","SOT-323_SC-70",25.550000,-11.015000,180.000000,top
"D6","BAT54CW","SOT-323_SC-70",25.550000,-13.765000,180.000000,top
"D7","BAT54AW","SOT-323_SC-70",25.550000,-16.515000,180.000000,top
"D8","BAT54CW","SOT-323_SC-70",25.550000,-19.265000,180.000000,top
"D9","BAT54AW","SOT-323_SC-70",-30.850000,14.015000,0.000000,top
"D10","BAT54CW","SOT-323_SC-70",-30.850000,11.210000,0.000000,top
"D11","BAT54AW","SOT-323_SC-70",-30.850000,8.405000,0.000000,top
"D12","BAT54CW","SOT-323_SC-70",-30.850000,5.600000,0.000000,top
"L1","Core_64c_Logo_7mm_tall","Core64c_Logo_7mm",23.088600,-29.006800,0.000000,top
