Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,87.45,-171.9,180,top
C2,0.1uF,C_0805_2012Metric,91.12,-117.2134,180,top
C3,0.1uF,C_0805_2012Metric,126.7,-108.175,180,top
C4,0.1uF,C_0805_2012Metric,134.05,-108.35,180,top
C5,1uF,C_0805_2012Metric,81.675,-103.805,-90,top
C6,1uF,C_0805_2012Metric,81.65,-100.36,90,top
C7,220uF,C_1206_3216Metric,78.925,-149.175,180,top
C8,220uF,C_1206_3216Metric,78.925,-146.625,180,top
C9,220uF,C_1206_3216Metric,78.925,-144.075,180,top
C10,1uF,C_0805_2012Metric,89.925,-158.105,90,top
C11,0.01uF,C_0805_2012Metric,86.775,-154.755,0,top
C12,1uF,C_0805_2012Metric,83.825,-154.505,90,top
C13,220uF,C_1206_3216Metric,78.925,-161.425,180,top
C14,220uF,C_1206_3216Metric,78.925,-158.825,180,top
C15,220uF,C_1206_3216Metric,78.925,-156.225,180,top
C16,0.1uF,C_0805_2012Metric,77.6326,-111.9556,0,top
C17,0.1uF,C_0805_2012Metric,104.865,-158.35,-90,top
C18,10uF,C_0805_2012Metric,108.365,-158.35,-90,top
C19,0.1uF,C_0805_2012Metric,121.4,-159.8,180,top
D1,BAT54AW,SOT-323_SC-70,134.45,-137.015,180,top
D2,BAT54CW,SOT-323_SC-70,134.45,-139.765,180,top
D3,BAT54AW,SOT-323_SC-70,134.45,-142.515,180,top
D4,BAT54CW,SOT-323_SC-70,134.45,-145.265,180,top
D5,BAT54AW,SOT-323_SC-70,134.45,-148.015,180,top
D6,BAT54CW,SOT-323_SC-70,134.45,-150.765,180,top
D7,BAT54AW,SOT-323_SC-70,134.45,-153.515,180,top
D8,BAT54CW,SOT-323_SC-70,134.45,-156.265,180,top
D9,BAT54AW,SOT-323_SC-70,78.05,-122.985,0,top
D10,BAT54CW,SOT-323_SC-70,78.05,-125.79,0,top
D11,BAT54AW,SOT-323_SC-70,78.05,-128.595,0,top
D12,BAT54CW,SOT-323_SC-70,78.05,-131.4,0,top
Q1,MMBT4403LT1G,SOT-23-3,130.775,-142.5,0,top
Q2,MMBT4401LT1G,SOT-23-3,126.725,-142.5,0,top
Q3,MMBT4403LT1G,SOT-23-3,130.775,-138.575,0,top
Q4,MMBT4401LT1G,SOT-23-3,126.725,-138.55,0,top
Q5,MMBT4403LT1G,SOT-23-3,130.775,-134.625,0,top
Q6,MMBT4401LT1G,SOT-23-3,126.725,-134.6,0,top
Q7,MMBT4403LT1G,SOT-23-3,130.775,-130.675,0,top
Q8,MMBT4401LT1G,SOT-23-3,126.725,-130.65,0,top
Q9,MMBT4403LT1G,SOT-23-3,130.775,-126.725,0,top
Q10,MMBT4401LT1G,SOT-23-3,126.725,-126.7,0,top
Q11,MMBT4403LT1G,SOT-23-3,130.775,-122.775,0,top
Q12,MMBT4401LT1G,SOT-23-3,126.725,-122.75,0,top
Q13,MMBT4403LT1G,SOT-23-3,81.8,-123.325,180,top
Q14,MMBT4401LT1G,SOT-23-3,87,-123.325,180,top
Q15,MMBT4403LT1G,SOT-23-3,81.8,-127.3,180,top
Q16,MMBT4401LT1G,SOT-23-3,87,-127.3,180,top
Q17,MMBT4403LT1G,SOT-23-3,81.8,-131.275,180,top
Q18,MMBT4401LT1G,SOT-23-3,87,-131.275,180,top
Q19,MMBT4403LT1G,SOT-23-3,81.8,-135.25,180,top
