### Footprint positions - created on 2024-07-08T22:43:48-0500 ###
### Printed by KiCad version 8.0.2-1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                     Package                                                PosX       PosY       Rot  Side
C1        0.1uF                   C_0805_2012Metric                                   87.4500  -171.9000  180.0000  top
C2        0.1uF                   C_0805_2012Metric                                   91.1200  -117.2134  180.0000  top
C3        0.1uF                   C_0805_2012Metric                                  126.7000  -108.1750  180.0000  top
C4        0.1uF                   C_0805_2012Metric                                  134.0500  -108.3500  180.0000  top
C5        1uF                     C_0805_2012Metric                                   81.6750  -103.8050  -90.0000  top
C6        1uF                     C_0805_2012Metric                                   81.6500  -100.3600   90.0000  top
C7        220uF                   C_1206_3216Metric                                   78.9250  -149.3020  180.0000  top
C8        220uF                   C_1206_3216Metric                                   78.9250  -146.7520  180.0000  top
C9        220uF                   C_1206_3216Metric                                   78.9250  -144.2020  180.0000  top
C10       1uF                     C_0805_2012Metric                                   89.9250  -158.1050   90.0000  top
C11       0.01uF                  C_0805_2012Metric                                   86.7750  -154.7550    0.0000  top
C12       1uF                     C_0805_2012Metric                                   83.8250  -154.5050   90.0000  top
C13       220uF                   C_1206_3216Metric                                   78.9250  -161.4250  180.0000  top
C14       220uF                   C_1206_3216Metric                                   78.9250  -158.8250  180.0000  top
C15       220uF                   C_1206_3216Metric                                   78.9250  -156.2250  180.0000  top
C16       0.1uF                   C_0805_2012Metric                                   76.9976  -112.7176    0.0000  top
C17       0.1uF                   C_0805_2012Metric                                  104.8650  -159.1120  -90.0000  top
C18       10uF                    C_0805_2012Metric                                  108.3650  -159.1120  -90.0000  top
C19       0.1uF                   C_0805_2012Metric                                  121.4000  -159.8000  180.0000  top
D1        BAT54AW                 SOT-323_SC-70                                      134.4500  -137.0150  180.0000  top
D2        BAT54CW                 SOT-323_SC-70                                      134.4500  -139.7650  180.0000  top
D3        BAT54AW                 SOT-323_SC-70                                      134.4500  -142.5150  180.0000  top
D4        BAT54CW                 SOT-323_SC-70                                      134.4500  -145.2650  180.0000  top
D5        BAT54AW                 SOT-323_SC-70                                      134.4500  -148.0150  180.0000  top
D6        BAT54CW                 SOT-323_SC-70                                      134.4500  -150.7650  180.0000  top
D7        BAT54AW                 SOT-323_SC-70                                      134.4500  -153.5150  180.0000  top
D8        BAT54CW                 SOT-323_SC-70                                      134.4500  -156.2650  180.0000  top
D9        BAT54AW                 SOT-323_SC-70                                       78.0500  -122.9850    0.0000  top
D10       BAT54CW                 SOT-323_SC-70                                       78.0500  -125.7900    0.0000  top
D11       BAT54AW                 SOT-323_SC-70                                       78.0500  -128.5950    0.0000  top
D12       BAT54CW                 SOT-323_SC-70                                       78.0500  -131.4000    0.0000  top
J1        HDR100IMP40F-G-V-TH     PinSocket_1x20_P2.54mm_Vertical                     73.3400  -112.8700    0.0000  top
